idx,headline,gt,pred,acc,confidence,method
0,"LG?자, Xbox? ?잡?webOS 게임 콘텐????강화",TV,TV,1,1.0,rule
1,LG's World-First Transparent and True Wireless 4K OLED TV Delivers New Screen Experience,TV,TV,1,0.8333333333333334,rule
2,LG genopliver muligvis sit wallpaper OLED TV ??her er W5,TV,TV,1,1.0,rule
3,"LG?자, ?스박스? ?트?십 체결",TV,TV,1,1.0,rule
4,"LG?자, ?스박스? ?트?십 체결????콘텐?강화",TV,TV,1,1.0,rule
5,TV brands showcase AI innovations at CES 2025 but face consumer skepticism,TV,TV,1,0.6,rule
6,LG Electronics na CES predstavil sériu televízorov OLED evo na rok 2025,TV,TV,1,0.6666666666666666,rule
7,"?스박스 ?잡? LG?자??리포??게임, TV?즐겨",TV,TV,1,1.0,rule
8,"LG?자, Xbox? ?트?십?webOS 게임 콘텐????강화",TV,TV,1,1.0,rule
9,TV brands are going all-in on AI for 2025 and I'm already over it,TV,TV,1,0.75,rule
10,"LG?자, ?스박스????트?십?로 게임 콘텐?강화",TV,TV,1,1.0,rule
11,LG expands smart TV games with Xbox Game Pass service in Korea,TV,TV,1,1.0,rule
12,"'?리?터 게임??LG TV? ... LG?자, ?스박스? ?트?십 체결",TV,TV,1,1.0,rule
13,LG και Xbox ??νε?γάζον?αι για ?ην αναβάθμι?η ?ο? cloud gaming ??ι? LG Smart TVs,TV,TV,1,1.0,rule
14,"LG?자, ?스박스? ?트?십 체결????콘텐?강화",TV,TV,1,1.0,rule
15,"LG?자, ?스박스(Xbox)? ?트?십, webOS 게임 콘텐????강화",TV,TV,1,1.0,rule
16,Gry w chmurze na telewizorach Smart TV dzięki współpracy LG i Xbox,TV,TV,1,1.0,rule
17,LG may resurrect the wallpaper OLED TV ??here's W5,TV,TV,1,0.6666666666666666,rule
18,?OS TV??XBOX ?라?드 게임 기능 추??는 LG,TV,TV,1,1.0,rule
19,"LG?자, ?스박스(Xbox)? ?트?십 체결...webOS 게임 콘텐????강화",TV,TV,1,1.0,rule
20,"(SOUND)CES2025?서 ""최고???품""?로 꼽힌 LG TV",TV,TV,1,0.6666666666666666,rule
21,"LG?자, ?스박스? ?잡??마?TV 게임 ?태??장 ?서",TV,TV,1,1.0,rule
22,"LG?자, ?스박스? 맞손?webOS 게임 콘텐?강화",TV,TV,1,1.0,rule
23,"LG?자, ?스박스? ?트?십 ?webOS 게임 콘텐? ???강화",TV,TV,1,1.0,rule
24,"LG?자, ?스박스 ?잡??OS 게임 콘텐????강화",TV,TV,1,1.0,rule
25,"LG 86QNED816RE 120Hz 86 Zoll TV - mit 5% Willkommensrabatt effektiv für 1310,55??inkl. Lieferung (mit CB 1243,10?? | mydealz",TV,TV,1,0.8,rule
26,"LG?자, MS ?스박스? ?트?십???밍 콘텐???",TV,TV,1,1.0,rule
